Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Afghanistan,AFG,Regulatory Quality: Estimate,RQ.EST,-1.120555
Albania,ALB,Regulatory Quality: Estimate,RQ.EST,0.2743798
Algeria,DZA,Regulatory Quality: Estimate,RQ.EST,-1.303379
American Samoa,ASM,Regulatory Quality: Estimate,RQ.EST,-0.2996051
Andorra,AND,Regulatory Quality: Estimate,RQ.EST,1.228176
Angola,AGO,Regulatory Quality: Estimate,RQ.EST,-0.8938714
Anguilla,AIA,Regulatory Quality: Estimate,RQ.EST,0.8462311
Antigua and Barbuda,ATG,Regulatory Quality: Estimate,RQ.EST,0.4853747
Argentina,ARG,Regulatory Quality: Estimate,RQ.EST,-0.4927526
Armenia,ARM,Regulatory Quality: Estimate,RQ.EST,0.2495153
Aruba,ABW,Regulatory Quality: Estimate,RQ.EST,0.8573601
Australia,AUS,Regulatory Quality: Estimate,RQ.EST,1.873539
Austria,AUT,Regulatory Quality: Estimate,RQ.EST,1.459116
Azerbaijan,AZE,Regulatory Quality: Estimate,RQ.EST,-0.2266413
"Bahamas, The",BHS,Regulatory Quality: Estimate,RQ.EST,-0.0483038
Bahrain,BHR,Regulatory Quality: Estimate,RQ.EST,0.4850985
Bangladesh,BGD,Regulatory Quality: Estimate,RQ.EST,-0.9289543
Barbados,BRB,Regulatory Quality: Estimate,RQ.EST,0.412301
Belarus,BLR,Regulatory Quality: Estimate,RQ.EST,-0.5437806
Belgium,BEL,Regulatory Quality: Estimate,RQ.EST,1.290999
Belize,BLZ,Regulatory Quality: Estimate,RQ.EST,-0.5442569
Benin,BEN,Regulatory Quality: Estimate,RQ.EST,-0.3759647
Bermuda,BMU,Regulatory Quality: Estimate,RQ.EST,0.8462311
Bhutan,BTN,Regulatory Quality: Estimate,RQ.EST,-0.3266567
Bolivia,BOL,Regulatory Quality: Estimate,RQ.EST,-0.9934062
Bosnia and Herzegovina,BIH,Regulatory Quality: Estimate,RQ.EST,-0.1940023
Botswana,BWA,Regulatory Quality: Estimate,RQ.EST,0.3700964
Brazil,BRA,Regulatory Quality: Estimate,RQ.EST,-0.177794
Brunei Darussalam,BRN,Regulatory Quality: Estimate,RQ.EST,0.6344553
Bulgaria,BGR,Regulatory Quality: Estimate,RQ.EST,0.5316786
Burkina Faso,BFA,Regulatory Quality: Estimate,RQ.EST,-0.376492
Burundi,BDI,Regulatory Quality: Estimate,RQ.EST,-0.9495389
Cabo Verde,CPV,Regulatory Quality: Estimate,RQ.EST,-0.2246175
Cambodia,KHM,Regulatory Quality: Estimate,RQ.EST,-0.5688344
Cameroon,CMR,Regulatory Quality: Estimate,RQ.EST,-0.8270048
Canada,CAN,Regulatory Quality: Estimate,RQ.EST,1.716097
Cayman Islands,CYM,Regulatory Quality: Estimate,RQ.EST,0.9827613
Central African Republic,CAF,Regulatory Quality: Estimate,RQ.EST,-1.372812
Chad,TCD,Regulatory Quality: Estimate,RQ.EST,-1.119248
Chile,CHL,Regulatory Quality: Estimate,RQ.EST,1.224169
China,CHN,Regulatory Quality: Estimate,RQ.EST,-0.2446144
Colombia,COL,Regulatory Quality: Estimate,RQ.EST,0.3966121
Comoros,COM,Regulatory Quality: Estimate,RQ.EST,-1.119256
