Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Afghanistan,AFG,Control of Corruption: Estimate,CC.EST,-1.401076
Albania,ALB,Control of Corruption: Estimate,CC.EST,-0.5287576
Algeria,DZA,Control of Corruption: Estimate,CC.EST,-0.6218498
American Samoa,ASM,Control of Corruption: Estimate,CC.EST,1.843883
Andorra,AND,Control of Corruption: Estimate,CC.EST,1.234392
Angola,AGO,Control of Corruption: Estimate,CC.EST,-1.054683
Anguilla,AIA,Control of Corruption: Estimate,CC.EST,1.234392
Antigua and Barbuda,ATG,Control of Corruption: Estimate,CC.EST,0.2778982
Argentina,ARG,Control of Corruption: Estimate,CC.EST,-0.0710714
Armenia,ARM,Control of Corruption: Estimate,CC.EST,-0.1841683
Aruba,ABW,Control of Corruption: Estimate,CC.EST,1.217238
Australia,AUS,Control of Corruption: Estimate,CC.EST,1.811107
Austria,AUT,Control of Corruption: Estimate,CC.EST,1.545429
Azerbaijan,AZE,Control of Corruption: Estimate,CC.EST,-0.8684072
"Bahamas, The",BHS,Control of Corruption: Estimate,CC.EST,1.184628
Bahrain,BHR,Control of Corruption: Estimate,CC.EST,-0.010218
Bangladesh,BGD,Control of Corruption: Estimate,CC.EST,-0.9938096
Barbados,BRB,Control of Corruption: Estimate,CC.EST,1.261709
Belarus,BLR,Control of Corruption: Estimate,CC.EST,-0.059539
Belgium,BEL,Control of Corruption: Estimate,CC.EST,1.551961
Belize,BLZ,Control of Corruption: Estimate,CC.EST,-0.1960228
Benin,BEN,Control of Corruption: Estimate,CC.EST,-0.3237639
Bermuda,BMU,Control of Corruption: Estimate,CC.EST,1.234392
Bhutan,BTN,Control of Corruption: Estimate,CC.EST,1.617919
Bolivia,BOL,Control of Corruption: Estimate,CC.EST,-0.7421893
Bosnia and Herzegovina,BIH,Control of Corruption: Estimate,CC.EST,-0.6131452
Botswana,BWA,Control of Corruption: Estimate,CC.EST,0.7078156
Brazil,BRA,Control of Corruption: Estimate,CC.EST,-0.3339985
Brunei Darussalam,BRN,Control of Corruption: Estimate,CC.EST,0.8018864
Bulgaria,BGR,Control of Corruption: Estimate,CC.EST,-0.1551902
Burkina Faso,BFA,Control of Corruption: Estimate,CC.EST,-0.1886562
Burundi,BDI,Control of Corruption: Estimate,CC.EST,-1.45847
Cabo Verde,CPV,Control of Corruption: Estimate,CC.EST,0.8708907
Cambodia,KHM,Control of Corruption: Estimate,CC.EST,-1.302401
Cameroon,CMR,Control of Corruption: Estimate,CC.EST,-1.208662
Canada,CAN,Control of Corruption: Estimate,CC.EST,1.766974
Cayman Islands,CYM,Control of Corruption: Estimate,CC.EST,0.4661654
Central African Republic,CAF,Control of Corruption: Estimate,CC.EST,-1.22844
Chad,TCD,Control of Corruption: Estimate,CC.EST,-1.420567
Chile,CHL,Control of Corruption: Estimate,CC.EST,1.088457
China,CHN,Control of Corruption: Estimate,CC.EST,-0.3234968
Colombia,COL,Control of Corruption: Estimate,CC.EST,-0.2291671
Comoros,COM,Control of Corruption: Estimate,CC.EST,-1.02035
"Congo, Dem. Rep.",COD,Control of Corruption: Estimate,CC.EST,-1.538931
"Congo, Rep.",COG,Control of Corruption: Estimate,CC.EST,-1.409547
Cook Islands,COK,Control of Corruption: Estimate,CC.EST,..
Costa Rica,CRI,Control of Corruption: Estimate,CC.EST,0.722371
Cote d'Ivoire,CIV,Control of Corruption: Estimate,CC.EST,-0.5250723
Croatia,HRV,Control of Corruption: Estimate,CC.EST,0.1255409
Cuba,CUB,Control of Corruption: Estimate,CC.EST,0.0432405
Cyprus,CYP,Control of Corruption: Estimate,CC.EST,0.6048772
Czech Republic,CZE,Control of Corruption: Estimate,CC.EST,0.5062277
Denmark,DNK,Control of Corruption: Estimate,CC.EST,2.107368
Djibouti,DJI,Control of Corruption: Estimate,CC.EST,-0.8556599
Dominica,DMA,Control of Corruption: Estimate,CC.EST,0.5262952
Dominican Republic,DOM,Control of Corruption: Estimate,CC.EST,-0.763217
Ecuador,ECU,Control of Corruption: Estimate,CC.EST,-0.4964109
"Egypt, Arab Rep.",EGY,Control of Corruption: Estimate,CC.EST,-0.670213
El Salvador,SLV,Control of Corruption: Estimate,CC.EST,-0.5525649
Equatorial Guinea,GNQ,Control of Corruption: Estimate,CC.EST,-1.722886
Eritrea,ERI,Control of Corruption: Estimate,CC.EST,-1.394767
Estonia,EST,Control of Corruption: Estimate,CC.EST,1.542329
Eswatini,SWZ,Control of Corruption: Estimate,CC.EST,-0.4876726
Ethiopia,ETH,Control of Corruption: Estimate,CC.EST,-0.4064651
Fiji,FJI,Control of Corruption: Estimate,CC.EST,0.5585566
Finland,FIN,Control of Corruption: Estimate,CC.EST,2.153081
France,FRA,Control of Corruption: Estimate,CC.EST,1.300968
French Guiana,GUF,Control of Corruption: Estimate,CC.EST,0.9192378
Gabon,GAB,Control of Corruption: Estimate,CC.EST,-0.9354914
"Gambia, The",GMB,Control of Corruption: Estimate,CC.EST,-0.2852226
Georgia,GEO,Control of Corruption: Estimate,CC.EST,0.6684984
Germany,DEU,Control of Corruption: Estimate,CC.EST,1.895473
Ghana,GHA,Control of Corruption: Estimate,CC.EST,-0.0790386
Greece,GRC,Control of Corruption: Estimate,CC.EST,-0.0118192
Greenland,GRL,Control of Corruption: Estimate,CC.EST,1.043699
Grenada,GRD,Control of Corruption: Estimate,CC.EST,0.3397682
Guam,GUM,Control of Corruption: Estimate,CC.EST,1.234392
Guatemala,GTM,Control of Corruption: Estimate,CC.EST,-0.8984204
Guinea,GIN,Control of Corruption: Estimate,CC.EST,-0.9049651
Guinea-Bissau,GNB,Control of Corruption: Estimate,CC.EST,-1.453986
Guyana,GUY,Control of Corruption: Estimate,CC.EST,-0.0918997
Haiti,HTI,Control of Corruption: Estimate,CC.EST,-1.339183
Honduras,HND,Control of Corruption: Estimate,CC.EST,-0.8084533
"Hong Kong SAR, China",HKG,Control of Corruption: Estimate,CC.EST,1.672441
Hungary,HUN,Control of Corruption: Estimate,CC.EST,-0.0010352
Iceland,ISL,Control of Corruption: Estimate,CC.EST,1.707973
India,IND,Control of Corruption: Estimate,CC.EST,-0.233254
Indonesia,IDN,Control of Corruption: Estimate,CC.EST,-0.4189961
"Iran, Islamic Rep.",IRN,Control of Corruption: Estimate,CC.EST,-1.047961
Iraq,IRQ,Control of Corruption: Estimate,CC.EST,-1.336654
Ireland,IRL,Control of Corruption: Estimate,CC.EST,1.458099
Israel,ISR,Control of Corruption: Estimate,CC.EST,0.8059544
Italy,ITA,Control of Corruption: Estimate,CC.EST,0.2398421
Jamaica,JAM,Control of Corruption: Estimate,CC.EST,-0.0565556
Japan,JPN,Control of Corruption: Estimate,CC.EST,1.475332
"Jersey, Channel Islands",JEY,Control of Corruption: Estimate,CC.EST,1.043699
Jordan,JOR,Control of Corruption: Estimate,CC.EST,0.1279795
Kazakhstan,KAZ,Control of Corruption: Estimate,CC.EST,-0.3199823
Kenya,KEN,Control of Corruption: Estimate,CC.EST,-0.7772462
Kiribati,KIR,Control of Corruption: Estimate,CC.EST,0.3710443
"Korea, Dem. People’s Rep.",PRK,Control of Corruption: Estimate,CC.EST,-1.589358
"Korea, Rep.",KOR,Control of Corruption: Estimate,CC.EST,0.7567343
Kosovo,XKX,Control of Corruption: Estimate,CC.EST,-0.5561343
Kuwait,KWT,Control of Corruption: Estimate,CC.EST,-0.132789
Kyrgyz Republic,KGZ,Control of Corruption: Estimate,CC.EST,-0.9454194
Lao PDR,LAO,Control of Corruption: Estimate,CC.EST,-1.058229
Latvia,LVA,Control of Corruption: Estimate,CC.EST,0.4849398
Lebanon,LBN,Control of Corruption: Estimate,CC.EST,-1.160213
Lesotho,LSO,Control of Corruption: Estimate,CC.EST,-0.0273043
Liberia,LBR,Control of Corruption: Estimate,CC.EST,-0.8775807
Libya,LBY,Control of Corruption: Estimate,CC.EST,-1.603637
Liechtenstein,LIE,Control of Corruption: Estimate,CC.EST,1.968311
Lithuania,LTU,Control of Corruption: Estimate,CC.EST,0.675986
Luxembourg,LUX,Control of Corruption: Estimate,CC.EST,2.112196
"Macao SAR, China",MAC,Control of Corruption: Estimate,CC.EST,0.704221
Madagascar,MDG,Control of Corruption: Estimate,CC.EST,-1.00937
Malawi,MWI,Control of Corruption: Estimate,CC.EST,-0.7811527
Malaysia,MYS,Control of Corruption: Estimate,CC.EST,0.2475228
Maldives,MDV,Control of Corruption: Estimate,CC.EST,-0.2625074
Mali,MLI,Control of Corruption: Estimate,CC.EST,-0.6966435
Malta,MLT,Control of Corruption: Estimate,CC.EST,0.2393866
Marshall Islands,MHL,Control of Corruption: Estimate,CC.EST,-0.0434163
Martinique,MTQ,Control of Corruption: Estimate,CC.EST,1.234392
Mauritania,MRT,Control of Corruption: Estimate,CC.EST,-0.8615845
Mauritius,MUS,Control of Corruption: Estimate,CC.EST,0.317112
Mexico,MEX,Control of Corruption: Estimate,CC.EST,-0.8210801
"Micronesia, Fed. Sts.",FSM,Control of Corruption: Estimate,CC.EST,0.7497162
Moldova,MDA,Control of Corruption: Estimate,CC.EST,-0.6186848
Monaco,MCO,Control of Corruption: Estimate,CC.EST,..
Mongolia,MNG,Control of Corruption: Estimate,CC.EST,-0.4417607
Montenegro,MNE,Control of Corruption: Estimate,CC.EST,-0.0301263
Morocco,MAR,Control of Corruption: Estimate,CC.EST,-0.2765363
Mozambique,MOZ,Control of Corruption: Estimate,CC.EST,-0.8010145
Myanmar,MMR,Control of Corruption: Estimate,CC.EST,-0.6251955
Namibia,NAM,Control of Corruption: Estimate,CC.EST,0.3724811
Nauru,NRU,Control of Corruption: Estimate,CC.EST,-0.4493027
Nepal,NPL,Control of Corruption: Estimate,CC.EST,-0.6740938
Netherlands,NLD,Control of Corruption: Estimate,CC.EST,1.999758
Netherlands Antilles,ANT,Control of Corruption: Estimate,CC.EST,..
New Zealand,NZL,Control of Corruption: Estimate,CC.EST,2.170071
Nicaragua,NIC,Control of Corruption: Estimate,CC.EST,-1.121844
Niger,NER,Control of Corruption: Estimate,CC.EST,-0.5541663
Nigeria,NGA,Control of Corruption: Estimate,CC.EST,-1.094948
Niue,NIU,Control of Corruption: Estimate,CC.EST,..
North Macedonia,MKD,Control of Corruption: Estimate,CC.EST,-0.4094637
Norway,NOR,Control of Corruption: Estimate,CC.EST,2.073468
Oman,OMN,Control of Corruption: Estimate,CC.EST,0.4521289
Pakistan,PAK,Control of Corruption: Estimate,CC.EST,-0.8467407
Palau,PLW,Control of Corruption: Estimate,CC.EST,-0.4493027
Panama,PAN,Control of Corruption: Estimate,CC.EST,-0.579924
