"Country","SCORE2016","SCORE2015","SCORE2014","SCORE2013","SCORE2012"
"Denmark",90,91,92,91,90
"New Zealand",90,88,91,91,90
"Finland",89,90,89,89,90
"Sweden",88,89,87,89,88
"Switzerland",86,86,86,85,86
"Norway",85,87,86,86,85
"Singapore",84,85,84,86,87
"Netherlands",83,87,83,83,84
"Canada",82,83,81,81,84
"Germany",81,81,79,78,79
"Luxembourg",81,81,82,80,80
"United Kingdom",81,81,78,76,74
"Australia",79,79,80,81,85
"Iceland",78,79,79,78,82
"Belgium",77,77,76,75,75
"Hong Kong",77,75,74,75,77
"Austria",75,76,72,69,69
"United States",74,76,74,73,73
"Ireland",73,75,74,72,69
"Japan",72,75,76,74,74
"Uruguay",71,74,73,73,72
"Estonia",70,70,69,68,64
"France",69,70,69,71,71
"Bahamas",66,NA,71,71,71
"Chile",66,70,73,71,72
"United Arab Emirates",66,70,70,69,68
"Bhutan",65,65,65,63,63
"Israel",64,61,60,61,60
"Poland",62,62,61,60,58
"Portugal",62,63,63,62,63
"Barbados",61,NA,74,75,76
"Qatar",61,71,69,68,68
"Slovenia",61,60,58,57,61
"Taiwan",61,62,61,61,61
"Botswana",60,63,63,64,65
"Saint Lucia",60,NA,NA,71,71
"Saint Vincent and the Grenadines",60,NA,67,62,62
"Cape Verde",59,55,57,58,60
"Dominica",59,NA,58,58,58
"Lithuania",59,61,58,57,54
"Brunei",58,NA,NA,60,55
"Costa Rica",58,55,54,53,54
"Spain",58,58,60,59,65
"Georgia",57,52,52,49,52
"Latvia",57,55,55,53,49
"Grenada",56,NA,NA,NA,NA
"Cyprus",55,61,63,63,66
"Czech Republic",55,56,51,48,49
"Malta",55,56,55,56,57
"Mauritius",54,53,54,52,57
"Rwanda",54,54,49,53,53
"Korea (South)",53,56,55,55,56
"Namibia",52,53,49,48,48
"Slovakia",51,51,50,47,46
"Croatia",49,51,48,48,46
"Malaysia",49,50,52,50,49
"Hungary",48,51,54,54,55
"Jordan",48,53,49,45,48
"Romania",48,46,43,43,44
"Cuba",47,47,46,46,48
"Italy",47,44,43,43,42
"Sao Tome and Principe",46,42,42,42,42
"Saudi Arabia",46,52,49,46,44
"Montenegro",45,44,42,44,41
"Oman",45,45,45,47,47
"Senegal",45,44,43,41,36
"South Africa",45,44,44,42,43
"Suriname",45,36,36,36,37
"Greece",44,46,43,40,36
"Bahrain",43,51,49,48,51
"Ghana",43,47,48,46,45
"Burkina Faso",42,38,38,38,38
"Serbia",42,40,41,42,39
"Solomon Islands",42,NA,NA,NA,NA
"Bulgaria",41,41,43,41,41
"Kuwait",41,49,44,43,44
"Tunisia",41,38,40,41,41
"Turkey",41,42,45,50,49
"Belarus",40,32,31,29,31
"Brazil",40,38,43,42,43
"China",40,37,36,40,39
"India",40,38,38,36,36
"Albania",39,36,33,31,33
"Bosnia and Herzegovina",39,38,39,42,42
"Jamaica",39,41,38,38,38
"Lesotho",39,44,49,49,45
"Mongolia",38,39,39,38,36
"Panama",38,39,37,35,38
"Zambia",38,38,38,38,37
"Colombia",37,37,37,36,36
"Indonesia",37,36,34,32,32
"Liberia",37,37,37,38,41
"Morocco",37,36,39,37,37
"Macedonia (Rep. of)",37,42,45,44,43
"Argentina",36,32,34,34,35
"Benin",36,37,39,36,36
"El Salvador",36,39,39,38,38
"Kosovo",36,33,33,33,34
"Maldives",36,NA,NA,NA,NA
"Sri Lanka",36,37,38,37,40
"Gabon",35,34,37,34,35
"Niger",35,34,35,34,33
"Peru",35,36,38,38,38
"Philippines",35,35,38,36,34
"Thailand",35,38,38,35,37
"Timor-Leste",35,28,28,30,33
"Trinidad and Tobago",35,39,38,38,39
"Algeria",34,36,36,36,34
"Côte d´Ivoire",34,32,32,27,29
"Egypt",34,36,37,32,32
"Ethiopia",34,33,33,33,33
"Guyana",34,29,30,27,28
"Armenia",33,35,37,36,34
"Bolivia",33,34,35,34,34
"Vietnam",33,31,31,31,31
"Mali",32,35,32,28,34
"Pakistan",32,30,29,28,27
"Tanzania",32,30,31,33,35
"Togo",32,32,29,29,30
"Dominican Republic",31,33,32,29,32
"Ecuador",31,32,33,35,32
"Malawi",31,31,33,37,37
"Azerbaijan",30,29,29,28,27
"Djibouti",30,34,34,36,36
"Honduras",30,31,29,26,28
"Laos",30,25,25,26,21
"Mexico",30,35,35,34,34
"Moldova",30,33,35,35,36
"Paraguay",30,27,24,24,25
"Sierra Leone",30,29,31,30,31
"Iran",29,27,27,25,28
"Kazakhstan",29,28,29,26,28
"Nepal",29,27,29,31,27
"Russia",29,29,27,28,28
"Ukraine",29,27,26,25,26
"Guatemala",28,28,32,29,33
"Kyrgyzstan",28,28,27,24,24
"Lebanon",28,28,27,28,30
"Myanmar",28,22,21,21,15
"Nigeria",28,26,27,25,27
"Papua New Guinea",28,25,25,25,25
"Guinea",27,25,25,24,24
"Mauritania",27,31,30,30,31
"Mozambique",27,31,31,30,31
"Bangladesh",26,25,25,27,26
"Cameroon",26,27,27,25,26
"Gambia",26,28,29,28,34
"Kenya",26,25,25,27,27
"Madagascar",26,28,28,28,32
"Nicaragua",26,27,28,28,29
"Tajikistan",25,26,23,22,22
"Uganda",25,25,26,26,29
"Comoros",24,26,26,28,28
"Turkmenistan",22,18,17,17,17
"Zimbabwe",22,21,21,21,20
"Cambodia",21,21,21,20,22
"Democratic Republic of Congo",21,22,22,22,21
"Uzbekistan",21,19,18,17,17
"Burundi",20,21,20,21,19
"Central African Republic",20,24,24,25,26
"Chad",20,22,22,19,19
"Haiti",20,17,19,19,19
"Republic of Congo",20,23,23,22,26
"Angola",18,15,19,23,22
"Eritrea",18,18,18,20,25
"Iraq",17,16,16,16,18
"Venezuela",17,17,19,20,19
"Guinea-Bissau",16,17,19,19,25
"Afghanistan",15,11,12,8,8
"Libya",14,16,18,15,21
"Sudan",14,12,11,11,13
"Yemen",14,18,19,18,23
"Syria",13,18,20,17,26
"Korea (North)",12,8,8,8,8
"South Sudan",11,15,15,14,NA
"Somalia",10,8,8,8,8
"To get in-depth information visit:Transparency International",NA,NA,NA,NA,NA
