"Code","Country.x","HDI","EXPECTATIVAVIDA","EXPECTCOLE","YEARS_SCHOOLING","GNI_GROSSNATIONALINCOME","infoalawk","d7.x","d100","%poburb18","GS_2017","PPP_2018","StringencyIndex","d7.y","Indice","Fecha (Dia 7 de cada pais)","Pais","Apoyo Economico","Densidad (2018)","Desempleo (% al 2019)","Country.y","Fecha","Valor"
"AGO","Angola",0.5745,60.782,11.777202,5.125459533,5554.697384,1,2020-03-26,2020-06-27,65.51,2.79150027781725,3289.64666408633,33.33,2020-03-26,-1.052086,2020-03-26,"Angola","Sin apoyo",24.7130520574316,7,"Angola",2020-06-27,259
"ALB","Albania",0.7914,78.458,15.23,10.0546184,12299.79934,2,2020-03-15,2020-06-16,60.32,NA,5284.38018438156,81.48,2020-03-15,0.114788,2020-03-15,"Albania","Sin apoyo",104.612262773723,14,"Albania",2020-06-16,1672
"AND","Andorra",0.8568,81.786,13.30023874,10.15545101,48640.89418,0,2020-03-08,2020-06-09,88.06,10.3205524384975,41793.0552583729,0,2020-03-08,1.944976,2020-03-08,"Andorra","Sin apoyo",163.842553191489,4,"Andorra",2020-06-09,852
"ARE","United Arab Emirates",0.8664,77.814,13.64343,10.95412,66911.66289,0,2020-02-04,2020-05-07,86.52,3.33428233861923,43839.3563491413,2.78,2020-02-04,1.431291,2020-02-04,"United Arab Emirates","Sin apoyo",135.609110109828,2,"United Arab Emirates",2020-05-07,16240
"ARG","Argentina",0.8301,76.52,17.63836,10.56496472,17611.21813,2,2020-03-09,2020-06-10,91.87,9.12431478500366,11683.9496216363,11.11,2020-03-09,0.0259878,2020-03-09,"Argentina","Sin apoyo",16.2585100979651,8,"Argentina",2020-06-10,25987
"AUS","Australia",0.9384,83.281,22.10372,12.68304986,44097.01934,2,2020-02-01,2020-05-04,86.01,9.20594781637192,57395.9194663167,19.44,2020-02-01,1.596495,2020-02-01,"Australia","Sin apoyo",3.24787091037205,6,"Australia",2020-05-04,6847
"AUT","Austria",0.9138,81.434,16.28676,12.55851074,46230.57167,2,2020-03-02,2020-06-03,58.3,10.3966169059277,51525.0464342791,11.11,2020-03-02,1.453342,2020-03-02,"Austria","Sin apoyo",107.127966860564,6,"Austria",2020-06-03,16771
"AZE","Azerbaijan",0.7539,72.864,12.40123094,10.47972,15240.14392,2,2020-03-07,2020-06-08,55.68,6.65182918310165,4739.84171028393,30.56,2020-03-07,-0.1004674,2020-03-07,"Azerbaijan","Sin apoyo",120.23431716463,5,"Azerbaijan",2020-06-08,7876
"BDI","Burundi",0.4229,61.247,11.30463,3.124365,659.7322625,1,2020-04-06,2020-07-08,13.03,7.51757025718689,271.752044376648,13.89,2020-04-06,-1.419982,2020-04-06,"Burundi","Sin apoyo",435.178271028037,NA,"Burundi",2020-07-08,191
"BEL","Belgium",0.9188,81.468,19.69991,11.78389183,43820.84204,2,2020-02-10,2020-05-13,98,10.338669270277,47491.3232594693,11.11,2020-02-10,1.171748,2020-02-10,"Belgium","Sin apoyo",377.379590488771,7,"Belgium",2020-05-13,53981
"BEN","Benin",0.5198,61.47,12.61455,3.774,2134.589379,2,2020-03-22,2020-06-23,47.31,3.71858216822147,1240.82946441954,27.78,2020-03-22,-0.5659866,2020-03-22,"Benin","Sin apoyo",101.853919829727,1,"Benin",2020-06-23,850
"BFA","Burkina Faso",0.4335,61.174,8.90646,1.585573608,1705.485422,2,2020-03-16,2020-06-17,29.36,6.91505968570709,820.160793810547,33.33,2020-03-16,-0.5783429,2020-03-16,"Burkina Faso","Sin apoyo",72.1912828947368,77,"Burkina Faso",2020-06-17,899
"BGD","Bangladesh",0.6137,72.32,11.20449,6.06183,4057.250181,2,2020-03-14,2020-06-15,36.63,2.27424874901772,1698.35039428122,13.89,2020-03-14,-0.7483993,2020-03-14,"Bangladesh","Sin apoyo",1239.57931166936,4,"Bangladesh",2020-06-15,90619
"BGR","Bulgaria",0.8157,74.928,14.81046,11.81482978,19645.936,2,2020-03-14,2020-06-15,75.01,8.09560343623161,9423.5586115666,50.93,2020-03-14,0.2718757,2020-03-14,"Bulgaria","Sin apoyo",64.7110998526161,6,"Bulgaria",2020-06-15,3341
"BHR","Bahrain",0.8378,77.163,15.25713,9.411832983,40399.11872,2,2020-03-01,2020-06-02,89.29,4.74810488522053,23991.05667694,30.56,2020-03-01,0.1798774,2020-03-01,"Bahrain","Sin apoyo",2017.27369979138,4,"Bahrain",2020-06-02,12311
"BIH","Bosnia and Herzegovina",0.7692,77.262,13.78761333,9.692916034,12689.68076,2,2020-03-11,2020-06-12,48.24,8.93166735768318,6072.18099160639,40.28,2020-03-11,-0.6185398,2020-03-11,"Bosnia and Herzegovina","Menos del 50% del sueldo",64.92048828125,21,"Bosnia and Herzegovina",2020-06-12,2893
"BLR","Belarus",0.8171,74.59,15.35894,12.30584324,17038.52852,0,2020-03-05,2020-06-06,78.59,5.92578575015068,6330.0752464187,0,2020-03-05,-0.3010303,2020-03-05,"Belarus","Sin apoyo",46.7195037884204,1,"Belarus",2020-06-06,47751
"BLZ","Belize",0.7202,74.496,13.12334,9.795835793,7135.969704,2,2020-03-29,2020-06-30,45.72,5.64282275736332,4884.7341615523,54.63,2020-03-29,-0.5938884,2020-03-29,"Belize","Menos del 50% del sueldo",16.7939938623411,9,"Belize",2020-06-30,24
"BRA","Brazil",0.7612,75.672,15.39694,7.84104675,14068.04766,2,2020-03-03,2020-06-04,86.57,9.46747660636902,9001.23424863499,11.11,2020-03-03,-0.4474374,2020-03-03,"Brazil","Sin apoyo",25.0617162430876,13,"Brazil",2020-06-04,614941
"BRB","Barbados",0.8133,79.081,15.15573,10.5569,15912.27757,2,2020-03-23,2020-06-24,31.15,6.77912682294846,17745.1934649963,50,2020-03-23,0.4269727,2020-03-23,"Barbados","Sin apoyo",666.606976744186,10,"Barbados",2020-06-24,97
"BTN","Bhutan",0.6173,71.46,12.12799313,3.137561559,8609.115446,2,2020-03-12,2020-06-13,40.9,3.18696238100529,3243.23112593497,31.48,2020-03-12,0.3588973,2020-03-12,"Bhutan","Sin apoyo",19.7775277714448,3,"Bhutan",2020-06-13,66
"BWA","Botswana",0.7278,69.275,12.69723496,9.33,15951.3304,2,2020-04-05,2020-07-07,69.45,6.13456815481186,8279.60136473398,86.11,2020-04-05,0.3334411,2020-04-05,"Botswana","Menos del 50% del sueldo",3.97742487604327,20,"Botswana",2020-07-07,314
"CAF","Central African Republic",0.3807,52.805,7.56836,4.282,776.6759961,2,2020-03-21,2020-06-22,41.36,5.82177564501762,475.953609871945,11.11,2020-03-21,-1.720417,2020-03-21,"Central African Republic","Menos del 50% del sueldo",7.49041221227006,7,"Central African Republic",2020-06-22,2963
"CAN","Canada",0.9221,82.315,16.09144,13.31536312,43602.24929,0,2020-02-01,2020-05-04,81.41,10.5727694928646,46313.1713712961,2.78,2020-02-01,1.716108,2020-02-01,"Canada","Sin apoyo",4.07518823864492,6,"Canada",2020-05-04,61957
"CHE","Switzerland",0.9459,83.63,16.20882,13.38081241,59374.73403,1,2020-03-02,2020-06-03,73.8,12.3463220894337,82818.1081617471,19.44,2020-03-02,2.039621,2020-03-02,"Switzerland","Sin apoyo",215.465350480429,3,"Switzerland",2020-06-03,30893
"CHL","Chile",0.8469,80.042,16.53156,10.4469855,21972.27872,0,2020-02-29,2020-06-01,87.56,8.9835099875927,15924.7942393064,0,2020-02-29,1.084034,2020-02-29,"Chile","Sin apoyo",25.1894460666519,7,"Chile",2020-06-01,129020
"CHN","China",0.7576,76.704,13.88891653,7.9,16126.56804,2,2020-01-28,2020-04-30,59.15,5.15119321644306,9976.67682180773,69.91,2020-01-28,0.4771284,2020-01-28,"China","Sin apoyo",148.348833270666,4,"China",2020-04-30,83956
"CMR","Cameroon",0.5627,58.921,12.7494,6.2917,3291.127921,0,2020-03-12,2020-06-13,56.37,4.67066690325737,1534.49127445052,0,2020-03-12,-0.7996525,2020-03-12,"Cameroon","Sin apoyo",53.3439889149796,4,"Cameroon",2020-06-13,8681
