"Code","Country","HDI","infoalawk","d7","d100","%poburb18","%pobrur18","GS_2017","PPP_2018","StringencyIndex","Indice","Apoyo Economico","Densidad (2018)","Desempleo (% al 2019)","Contagd100"
"AGO","Angola",0.5745,"Campañas del gobierno",2020-03-26,2020-06-27,65.51,34.49,2.79150027781725,3289.64666408633,33.33,-1.052086,"Sin apoyo",24.7130520574316,7,259
"AND","Andorra",0.8568,"Ninguna",2020-03-08,2020-06-09,88.06,11.94,10.3205524384975,41793.0552583729,0,1.944976,"Sin apoyo",163.842553191489,4,852
"ARE","United Arab Emirates",0.8664,"Ninguna",2020-02-04,2020-05-07,86.52,13.48,3.33428233861923,43839.3563491413,2.78,1.431291,"Sin apoyo",135.609110109828,2,16240
"ARG","Argentina",0.8301,"Campañas integrales",2020-03-09,2020-06-10,91.87,8.13,9.12431478500366,11683.9496216363,11.11,0.0259878,"Sin apoyo",16.2585100979651,8,25987
"AUS","Australia",0.9384,"Campañas integrales",2020-02-01,2020-05-04,86.01,13.99,9.20594781637192,57395.9194663167,19.44,1.596495,"Sin apoyo",3.24787091037205,6,6847
"AUT","Austria",0.9138,"Campañas integrales",2020-03-02,2020-06-03,58.3,41.7,10.3966169059277,51525.0464342791,11.11,1.453342,"Sin apoyo",107.127966860564,6,16771
"AZE","Azerbaijan",0.7539,"Campañas integrales",2020-03-07,2020-06-08,55.68,44.32,6.65182918310165,4739.84171028393,30.56,-0.1004674,"Sin apoyo",120.23431716463,5,7876
"BEL","Belgium",0.9188,"Campañas integrales",2020-02-10,2020-05-13,98,2,10.338669270277,47491.3232594693,11.11,1.171748,"Sin apoyo",377.379590488771,7,53981
"BEN","Benin",0.5198,"Campañas integrales",2020-03-22,2020-06-23,47.31,52.69,3.71858216822147,1240.82946441954,27.78,-0.5659866,"Sin apoyo",101.853919829727,1,850
"BFA","Burkina Faso",0.4335,"Campañas integrales",2020-03-16,2020-06-17,29.36,70.64,6.91505968570709,820.160793810547,33.33,-0.5783429,"Sin apoyo",72.1912828947368,77,899
"BGD","Bangladesh",0.6137,"Campañas integrales",2020-03-14,2020-06-15,36.63,63.37,2.27424874901772,1698.35039428122,13.89,-0.7483993,"Sin apoyo",1239.57931166936,4,90619
"BGR","Bulgaria",0.8157,"Campañas integrales",2020-03-14,2020-06-15,75.01,24.99,8.09560343623161,9423.5586115666,50.93,0.2718757,"Sin apoyo",64.7110998526161,6,3341
"BHR","Bahrain",0.8378,"Campañas integrales",2020-03-01,2020-06-02,89.29,10.71,4.74810488522053,23991.05667694,30.56,0.1798774,"Sin apoyo",2017.27369979138,4,12311
"BIH","Bosnia and Herzegovina",0.7692,"Campañas integrales",2020-03-11,2020-06-12,48.24,51.76,8.93166735768318,6072.18099160639,40.28,-0.6185398,"Menos del 50% del sueldo",64.92048828125,21,2893
"BLR","Belarus",0.8171,"Ninguna",2020-03-05,2020-06-06,78.59,21.41,5.92578575015068,6330.0752464187,0,-0.3010303,"Sin apoyo",46.7195037884204,1,47751
"BLZ","Belize",0.7202,"Campañas integrales",2020-03-29,2020-06-30,45.72,54.28,5.64282275736332,4884.7341615523,54.63,-0.5938884,"Menos del 50% del sueldo",16.7939938623411,9,24
"BRA","Brazil",0.7612,"Campañas integrales",2020-03-03,2020-06-04,86.57,13.43,9.46747660636902,9001.23424863499,11.11,-0.4474374,"Sin apoyo",25.0617162430876,13,614941
"BRB","Barbados",0.8133,"Campañas integrales",2020-03-23,2020-06-24,31.15,68.85,6.77912682294846,17745.1934649963,50,0.4269727,"Sin apoyo",666.606976744186,10,97
"BTN","Bhutan",0.6173,"Campañas integrales",2020-03-12,2020-06-13,40.9,59.1,3.18696238100529,3243.23112593497,31.48,0.3588973,"Sin apoyo",19.7775277714448,3,66
"BWA","Botswana",0.7278,"Campañas integrales",2020-04-05,2020-07-07,69.45,30.55,6.13456815481186,8279.60136473398,86.11,0.3334411,"Menos del 50% del sueldo",3.97742487604327,20,314
"CAF","Central African Republic",0.3807,"Campañas integrales",2020-03-21,2020-06-22,41.36,58.64,5.82177564501762,475.953609871945,11.11,-1.720417,"Menos del 50% del sueldo",7.49041221227006,7,2963
"CAN","Canada",0.9221,"Ninguna",2020-02-01,2020-05-04,81.41,18.59,10.5727694928646,46313.1713712961,2.78,1.716108,"Sin apoyo",4.07518823864492,6,61957
"CHE","Switzerland",0.9459,"Campañas del gobierno",2020-03-02,2020-06-03,73.8,26.2,12.3463220894337,82818.1081617471,19.44,2.039621,"Sin apoyo",215.465350480429,3,30893
"CHL","Chile",0.8469,"Ninguna",2020-02-29,2020-06-01,87.56,12.44,8.9835099875927,15924.7942393064,0,1.084034,"Sin apoyo",25.1894460666519,7,129020
"CHN","China",0.7576,"Campañas integrales",2020-01-28,2020-04-30,59.15,40.85,5.15119321644306,9976.67682180773,69.91,0.4771284,"Sin apoyo",148.348833270666,4,83956
"CMR","Cameroon",0.5627,"Ninguna",2020-03-12,2020-06-13,56.37,43.63,4.67066690325737,1534.49127445052,0,-0.7996525,"Sin apoyo",53.3439889149796,4,8681
"COL","Colombia",0.7609,"Campañas integrales",2020-03-12,2020-06-13,80.78,19.22,7.22628086805344,6718.58532391314,34.26,-0.0852262,"Sin apoyo",44.7487021180712,9,48746
"CRI","Costa Rica",0.7935,"Campañas integrales",2020-03-12,2020-06-13,79.34,20.66,7.32879638671875,12112.1344206452,37.04,0.3781868,"Sin apoyo",97.9130630630631,8,1662
"CUB","Cuba",0.7777,"Campañas integrales",2020-03-18,2020-06-19,77.04,22.96,11.7113269865513,8821.81889125004,13.89,-0.2448378,"Sin apoyo",108.999596231494,3,2305
"DEU","Germany",0.9388,"Campañas del gobierno",2020-02-02,2020-05-05,77.31,22.69,11.2468346953392,47639.0034407122,5.56,1.619633,"Sin apoyo",237.30759674834,4,167007
"DMA","Dominica",0.7238,"Campañas integrales",2020-03-28,2020-06-29,70.48,29.52,5.87688907980919,7691.34509727878,30.56,-0.2895034,"Sin apoyo",95.5,23,18
"DNK","Denmark",0.9299,"Campañas integrales",2020-03-04,2020-06-05,87.87,12.13,10.1082794368267,61390.6930097009,20.37,1.871631,"Sin apoyo",137.976565849012,6,12075
"DOM","Dominican Republic",0.7446,"Campañas integrales",2020-03-07,2020-06-08,81.07,18.93,6.13639503717422,8050.63044027449,11.11,-0.4002573,"Sin apoyo",219.97857586421,5,20126
"ECU","Ecuador",0.7579,"Campañas del gobierno",2020-03-07,2020-06-08,63.82,36.18,8.25742930173874,6295.93539868079,8.33,-0.2613976,"Sin apoyo",68.7886817522951,5,43378
"EGY","Egypt",0.6997,"Ninguna",2020-02-20,2020-05-23,42.7,57.3,5.28763681650162,2549.13225178609,0,-0.5848041,"Sin apoyo",98.8734692852479,12,16513
"ESP","Spain",0.8928,"Campañas integrales",2020-02-07,2020-05-10,80.32,19.68,8.87312963604927,30337.6791331632,11.11,1.002136,"Sin apoyo",93.6771974435832,17,224350
"EST","Estonia",0.8815,"Ninguna",2020-03-04,2020-06-05,68.88,31.12,6.42935782670975,23258.4675814303,0,1.191938,"Sin apoyo",30.4112491373361,6,1910
"ETH","Ethiopia",0.4698,"Campañas integrales",2020-03-19,2020-06-20,20.76,79.24,3.50255742669106,771.523813864476,35.19,-0.6074697,"Sin apoyo",109.224559,18,4469
"FIN","Finland",0.9252,"Campañas del gobierno",2020-02-04,2020-05-07,85.38,14.62,9.20693874359131,50021.2910567702,5.56,1.984208,"Sin apoyo",18.1485472672831,9,5673
"FJI","Fiji",0.7237,"Campañas integrales",2020-03-25,2020-06-26,56.25,43.75,3.50074470043182,6266.96795881419,81.48,0.2595362,"Sin apoyo",48.3570333880679,5,18
"FRA","France",0.8911,"Campañas integrales",2020-01-30,2020-05-02,80.44,19.56,11.3128922879696,41631.0907389044,11.11,1.480526,"Sin apoyo",122.299437237519,9,168518
"GBR","United Kingdom",0.9204,"Campañas integrales",2020-02-06,2020-05-09,83.4,16.6,9.63169410824776,43043.2278164551,11.11,1.341884,"Sin apoyo",274.708981936924,4,209589
"GHA","Ghana",0.5957,"Campañas integrales",2020-03-20,2020-06-21,56.06,43.94,3.26237045228481,2202.31216442504,50,-0.2102704,"Sin apoyo",130.821429199262,12,14154
"GIN","Guinea",0.4655,"Campañas integrales",2020-03-19,2020-06-20,36.14,63.86,4.12308685481548,983.309492239346,13.89,-0.9709232,"Sin apoyo",50.5222122741332,3,4960
"GRC","Greece",0.872,"Campañas integrales",2020-03-03,2020-06-04,79.06,20.94,8.04139003157616,20324.3050137875,19.44,0.3382609,"Sin apoyo",83.2651823118697,22,2952
"GTM","Guatemala",0.651,"Campañas integrales",2020-03-20,2020-06-21,51.05,48.95,5.81384375691414,4472.89236269013,83.33,-0.6820061,"Sin apoyo",152.547125793206,2,13145
"GUY","Guyana",0.6703,"Campañas integrales",2020-03-18,2020-06-19,26.61,73.39,4.94550988078117,4979.00218839886,41.67,-0.2694839,"Sin apoyo",3.95734823469647,11,183
"HND","Honduras",0.623,"Campañas integrales",2020-03-17,2020-06-18,57.1,42.9,7.85842537879944,2505.7767518956,93.52,-0.6206585,"Sin apoyo",85.6870319063366,6,10739
"HRV","Croatia",0.8373,"Campañas integrales",2020-03-02,2020-06-03,56.95,43.05,6.78913369774818,14920.1913831924,13.89,0.4569183,"Sin apoyo",73.0493745532523,12,2246
"HTI","Haiti",0.5027,"Campañas integrales",2020-03-26,2020-06-27,55.28,44.72,8.03550109267235,868.342024762787,82.41,-1.909054,"Sin apoyo",403.59854862119,41,5777
"HUN","Hungary",0.8447,"Campañas integrales",2020-03-10,2020-06-11,71.35,28.65,6.87998980283737,16150.7727613725,19.44,0.4873109,"Sin apoyo",107.981486799956,4,4039
"IDN","Indonesia",0.7069,"Campañas integrales",2020-03-08,2020-06-09,55.33,44.67,2.98905447125435,3893.84642475571,37.04,0.1798754,"Sin apoyo",147.75219008926,5,33076
