"Code","Country","HDI","EXPECTATIVAVIDA","EXPECTCOLE","YEARS_SCHOOLING","GNI_GROSSNATIONALINCOME","infoalawk","d7","d100","%poburb18","%pobrur18","GS_2017","PPP_2018","StringencyIndex","Indice","Apoyo Economico","Densidad (2018)","Desempleo (% al 2019)","Contagd100"
"AGO","Angola",0.5745,60.782,11.777202,5.125459533,5554.697384,1,2020-04-03,2020-06-27,65.51,34.49,2.79150027781725,3289.64666408633,90.74,-1.052086,"Sin apoyo",24.7130520574316,7,259
"AND","Andorra",0.8568,81.786,13.30023874,10.15545101,48640.89418,0,2020-03-16,2020-06-09,88.06,11.94,10.3205524384975,41793.0552583729,31.48,1.944976,"Más del 50% del sueldo",163.842553191489,4,852
"ARE","United Arab Emirates",0.8664,77.814,13.64343,10.95412,66911.66289,0,2020-02-12,2020-05-07,86.52,13.48,3.33428233861923,43839.3563491413,2.78,1.431291,"Sin apoyo",135.609110109828,2,16240
"ARG","Argentina",0.8301,76.52,17.63836,10.56496472,17611.21813,2,2020-03-17,2020-06-10,91.87,8.13,9.12431478500366,11683.9496216363,41.67,0.0259878,"Sin apoyo",16.2585100979651,8,25987
"AUS","Australia",0.9384,83.281,22.10372,12.68304986,44097.01934,2,2020-02-09,2020-05-04,86.01,13.99,9.20594781637192,57395.9194663167,19.44,1.596495,"Sin apoyo",3.24787091037205,6,6847
"AUT","Austria",0.9138,81.434,16.28676,12.55851074,46230.57167,2,2020-03-10,2020-06-03,58.3,41.7,10.3966169059277,51525.0464342791,19.44,1.453342,"Sin apoyo",107.127966860564,6,16771
"AZE","Azerbaijan",0.7539,72.864,12.40123094,10.47972,15240.14392,2,2020-03-15,2020-06-08,55.68,44.32,6.65182918310165,4739.84171028393,52.78,-0.1004674,"Sin apoyo",120.23431716463,5,7876
"BEL","Belgium",0.9188,81.468,19.69991,11.78389183,43820.84204,2,2020-02-18,2020-05-13,98,2,10.338669270277,47491.3232594693,11.11,1.171748,"Sin apoyo",377.379590488771,7,53981
"BEN","Benin",0.5198,61.47,12.61455,3.774,2134.589379,2,2020-03-30,2020-06-23,47.31,52.69,3.71858216822147,1240.82946441954,70.83,-0.5659866,"Sin apoyo",101.853919829727,1,850
"BFA","Burkina Faso",0.4335,61.174,8.90646,1.585573608,1705.485422,2,2020-03-24,2020-06-17,29.36,70.64,6.91505968570709,820.160793810547,84.26,-0.5783429,"Sin apoyo",72.1912828947368,77,899
