"Code","infoalawk","StringencyIndex","Apoyo Economico"
"AGO",1,90.74,"Sin apoyo"
"AND",0,31.48,"Más del 50% del sueldo"
"ARE",0,2.78,"Sin apoyo"
"ARG",2,41.67,"Sin apoyo"
"AUS",2,19.44,"Sin apoyo"
"AUT",2,19.44,"Sin apoyo"
"AZE",2,52.78,"Sin apoyo"
"BEL",2,11.11,"Sin apoyo"
"BEN",2,70.83,"Sin apoyo"
"BFA",2,84.26,"Sin apoyo"
"BGD",2,81.48,"Sin apoyo"
"BGR",2,73.15,"Sin apoyo"
"BHR",2,30.56,"Sin apoyo"
"BIH",2,77.78,"Menos del 50% del sueldo"
"BLR",0,0,"Sin apoyo"
"BLZ",2,75,"Menos del 50% del sueldo"
"BRA",2,11.11,"Sin apoyo"
"BRB",2,73.15,"Sin apoyo"
"BTN",2,33.33,"Sin apoyo"
"BWA",2,86.11,"Menos del 50% del sueldo"
"CAF",2,68.52,"Menos del 50% del sueldo"
"CAN",0,2.78,"Sin apoyo"
"CHE",2,25,"Sin apoyo"
"CHL",0,0,"Sin apoyo"
"CHN",2,77.31,"Sin apoyo"
"CMR",0,57.41,"Sin apoyo"
"COL",2,50.93,"Sin apoyo"
"CRI",2,62.96,"Sin apoyo"
"CUB",2,66.67,"Sin apoyo"
"DEU",1,5.56,"Sin apoyo"
"DMA",2,79.63,"Sin apoyo"
"DNK",2,37.96,"Más del 50% del sueldo"
"DOM",2,11.11,"Sin apoyo"
"ECU",2,55.56,"Sin apoyo"
"EGY",0,0,"Sin apoyo"
"ESP",2,11.11,"Sin apoyo"
"EST",2,25,"Sin apoyo"
"ETH",2,60.19,"Sin apoyo"
"FIN",1,13.89,"Sin apoyo"
"FJI",2,88.89,"Menos del 50% del sueldo"
"FRA",2,13.89,"Sin apoyo"
"GBR",2,11.11,"Sin apoyo"
"GEO",2,45.37,"Sin apoyo"
"GHA",2,52.78,"Sin apoyo"
"GIN",2,71.3,"Sin apoyo"
"GRC",2,33.33,"Sin apoyo"
"GTM",2,93.52,"Sin apoyo"
"GUY",2,45.37,"Sin apoyo"
"HND",2,100,"Sin apoyo"
"HRV",2,22.22,"Sin apoyo"
"HTI",2,82.41,"Sin apoyo"
"HUN",2,67.59,"Sin apoyo"
"IDN",2,43.52,"Sin apoyo"
"IND",1,10.19,"Sin apoyo"
"IRL",2,42.59,"Sin apoyo"
"IRQ",2,52.78,"Sin apoyo"
"ISL",2,16.67,"Sin apoyo"
"ISR",2,33.33,"Sin apoyo"
"ITA",2,19.44,"Sin apoyo"
"JAM",2,75,"Sin apoyo"
"JOR",2,33.33,"Sin apoyo"
"JPN",2,19.44,"Sin apoyo"
"KAZ",2,80.09,"Menos del 50% del sueldo"
"KEN",2,87.04,"Menos del 50% del sueldo"
"KHM",0,0,"Sin apoyo"
"KWT",2,36.11,"Sin apoyo"
"LBN",2,37.96,"Sin apoyo"
"LBR",2,79.63,"Sin apoyo"
"LKA",1,8.33,"Sin apoyo"
"LSO",2,62.04,"Sin apoyo"
"LTU",2,47.22,"Sin apoyo"
"LUX",2,42.59,"Sin apoyo"
"LVA",2,50.93,"Más del 50% del sueldo"
"MAR",2,55.56,"Sin apoyo"
"MDG",2,91.67,"Sin apoyo"
"MEX",0,2.78,"Sin apoyo"
"MLI",2,72.22,"Menos del 50% del sueldo"
"MNG",2,62.96,"Sin apoyo"
"MOZ",2,56.48,"Sin apoyo"
"MRT",2,66.67,"Menos del 50% del sueldo"
"MUS",2,82.41,"Menos del 50% del sueldo"
"MWI",2,56.48,"Sin apoyo"
"MYS",2,19.44,"Sin apoyo"
"NAM",2,66.67,"Sin apoyo"
"NER",2,61.11,"Sin apoyo"
"NGA",2,11.11,"Sin apoyo"
"NIC",1,8.33,"Sin apoyo"
"NLD",2,41.67,"Sin apoyo"
"NOR",2,20.37,"Sin apoyo"
"NPL",2,16.67,"Sin apoyo"
"NZL",2,19.44,"Sin apoyo"
"PAK",2,28.7,"Sin apoyo"
"PAN",2,75.93,"Sin apoyo"
"PER",2,94.44,"Menos del 50% del sueldo"
"PHL",2,25,"Sin apoyo"
"POL",2,57.41,"Menos del 50% del sueldo"
"PRT",2,37.96,"Menos del 50% del sueldo"
"PRY",1,85.19,"Sin apoyo"
"QAT",1,30.56,"Sin apoyo"
"ROU",2,44.44,"Sin apoyo"
"RWA",2,90.74,"Sin apoyo"
"SAU",2,68.52,"Sin apoyo"
"SEN",2,41.67,"Sin apoyo"
"SGP",2,19.44,"Sin apoyo"
"SLE",1,78.7,"Sin apoyo"
"SLV",2,88.89,"Menos del 50% del sueldo"
"SRB",2,81.48,"Sin apoyo"
"SUR",2,71.3,"Sin apoyo"
"SVN",2,67.59,"Sin apoyo"
"SWE",0,0,"Sin apoyo"
"SYC",2,41.67,"Sin apoyo"
"TGO",2,61.11,"Sin apoyo"
"THA",0,0,"Sin apoyo"
"TJK",2,51.85,"Sin apoyo"
"TUN",2,48.15,"Sin apoyo"
"TUR",2,67.59,"Sin apoyo"
"UGA",2,93.52,"Sin apoyo"
"UKR",2,77.78,"Menos del 50% del sueldo"
"URY",2,62.96,"Menos del 50% del sueldo"
"ZAF",2,55.56,"Sin apoyo"
"ZMB",2,47.22,"Sin apoyo"
"ZWE",2,87.96,"Sin apoyo"
