Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Afghanistan,AFG,Voice and Accountability: Estimate,VA.EST,-0.9880323
Albania,ALB,Voice and Accountability: Estimate,VA.EST,0.1518047
Algeria,DZA,Voice and Accountability: Estimate,VA.EST,-1.037679
American Samoa,ASM,Voice and Accountability: Estimate,VA.EST,..
Andorra,AND,Voice and Accountability: Estimate,VA.EST,1.139154
Angola,AGO,Voice and Accountability: Estimate,VA.EST,-0.7772832
Anguilla,AIA,Voice and Accountability: Estimate,VA.EST,..
Antigua and Barbuda,ATG,Voice and Accountability: Estimate,VA.EST,0.7604436
Argentina,ARG,Voice and Accountability: Estimate,VA.EST,0.6004349
Armenia,ARM,Voice and Accountability: Estimate,VA.EST,0.0500427
Aruba,ABW,Voice and Accountability: Estimate,VA.EST,1.294189
Australia,AUS,Voice and Accountability: Estimate,VA.EST,1.315125
Austria,AUT,Voice and Accountability: Estimate,VA.EST,1.326599
Azerbaijan,AZE,Voice and Accountability: Estimate,VA.EST,-1.491788
"Bahamas, The",BHS,Voice and Accountability: Estimate,VA.EST,0.9342639
Bahrain,BHR,Voice and Accountability: Estimate,VA.EST,-1.412584
Bangladesh,BGD,Voice and Accountability: Estimate,VA.EST,-0.7217754
Barbados,BRB,Voice and Accountability: Estimate,VA.EST,1.131867
Belarus,BLR,Voice and Accountability: Estimate,VA.EST,-1.402502
Belgium,BEL,Voice and Accountability: Estimate,VA.EST,1.36912
Belize,BLZ,Voice and Accountability: Estimate,VA.EST,0.5317144
Benin,BEN,Voice and Accountability: Estimate,VA.EST,0.0920652
Bermuda,BMU,Voice and Accountability: Estimate,VA.EST,..
Bhutan,BTN,Voice and Accountability: Estimate,VA.EST,0.0987649
Bolivia,BOL,Voice and Accountability: Estimate,VA.EST,-0.0912361
Bosnia and Herzegovina,BIH,Voice and Accountability: Estimate,VA.EST,-0.1992863
Botswana,BWA,Voice and Accountability: Estimate,VA.EST,0.5260314
Brazil,BRA,Voice and Accountability: Estimate,VA.EST,0.3444251
Brunei Darussalam,BRN,Voice and Accountability: Estimate,VA.EST,-0.9489539
Bulgaria,BGR,Voice and Accountability: Estimate,VA.EST,0.3849187
