Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Afghanistan,AFG,Rule of Law: Estimate,RL.EST,-1.713527
Albania,ALB,Rule of Law: Estimate,RL.EST,-0.4111794
Algeria,DZA,Rule of Law: Estimate,RL.EST,-0.8154638
American Samoa,ASM,Rule of Law: Estimate,RL.EST,1.335098
Andorra,AND,Rule of Law: Estimate,RL.EST,1.579939
Angola,AGO,Rule of Law: Estimate,RL.EST,-1.054343
Anguilla,AIA,Rule of Law: Estimate,RL.EST,0.3557367
Antigua and Barbuda,ATG,Rule of Law: Estimate,RL.EST,0.4052047
Argentina,ARG,Rule of Law: Estimate,RL.EST,-0.4307256
Armenia,ARM,Rule of Law: Estimate,RL.EST,-0.1312758
Aruba,ABW,Rule of Law: Estimate,RL.EST,1.263128
Australia,AUS,Rule of Law: Estimate,RL.EST,1.734145
Austria,AUT,Rule of Law: Estimate,RL.EST,1.883051
Azerbaijan,AZE,Rule of Law: Estimate,RL.EST,-0.5772703
"Bahamas, The",BHS,Rule of Law: Estimate,RL.EST,0.0765319
Bahrain,BHR,Rule of Law: Estimate,RL.EST,0.4943778
Bangladesh,BGD,Rule of Law: Estimate,RL.EST,-0.6363084
Barbados,BRB,Rule of Law: Estimate,RL.EST,0.3570292
Belarus,BLR,Rule of Law: Estimate,RL.EST,-0.7944578
Belgium,BEL,Rule of Law: Estimate,RL.EST,1.363715
Belize,BLZ,Rule of Law: Estimate,RL.EST,-0.7755125
Benin,BEN,Rule of Law: Estimate,RL.EST,-0.6641259
Bermuda,BMU,Rule of Law: Estimate,RL.EST,0.8454176
Bhutan,BTN,Rule of Law: Estimate,RL.EST,0.5897077
Bolivia,BOL,Rule of Law: Estimate,RL.EST,-1.121389
Bosnia and Herzegovina,BIH,Rule of Law: Estimate,RL.EST,-0.2335416
Botswana,BWA,Rule of Law: Estimate,RL.EST,0.4984392
Brazil,BRA,Rule of Law: Estimate,RL.EST,-0.180904
Brunei Darussalam,BRN,Rule of Law: Estimate,RL.EST,0.6142667
Bulgaria,BGR,Rule of Law: Estimate,RL.EST,0.0358966
Burkina Faso,BFA,Rule of Law: Estimate,RL.EST,-0.4262591
Burundi,BDI,Rule of Law: Estimate,RL.EST,-1.431905
Cabo Verde,CPV,Rule of Law: Estimate,RL.EST,0.5153446
Cambodia,KHM,Rule of Law: Estimate,RL.EST,-0.9356683
Cameroon,CMR,Rule of Law: Estimate,RL.EST,-1.118909
Canada,CAN,Rule of Law: Estimate,RL.EST,1.75994
Cayman Islands,CYM,Rule of Law: Estimate,RL.EST,0.7690086
Central African Republic,CAF,Rule of Law: Estimate,RL.EST,-1.728386
Chad,TCD,Rule of Law: Estimate,RL.EST,-1.283358
Chile,CHL,Rule of Law: Estimate,RL.EST,1.073613
China,CHN,Rule of Law: Estimate,RL.EST,-0.2747186
Colombia,COL,Rule of Law: Estimate,RL.EST,-0.4169289
