Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Afghanistan,AFG,Government Effectiveness: Estimate,GE.EST,-1.463875
Albania,ALB,Government Effectiveness: Estimate,GE.EST,-0.0613309
Algeria,DZA,Government Effectiveness: Estimate,GE.EST,-0.5161746
American Samoa,ASM,Government Effectiveness: Estimate,GE.EST,0.5425926
Andorra,AND,Government Effectiveness: Estimate,GE.EST,1.908749
Angola,AGO,Government Effectiveness: Estimate,GE.EST,-1.117144
Anguilla,AIA,Government Effectiveness: Estimate,GE.EST,0.8158239
Antigua and Barbuda,ATG,Government Effectiveness: Estimate,GE.EST,-0.0038697
Argentina,ARG,Government Effectiveness: Estimate,GE.EST,-0.0864859
Armenia,ARM,Government Effectiveness: Estimate,GE.EST,-0.0668174
Aruba,ABW,Government Effectiveness: Estimate,GE.EST,1.029933
Australia,AUS,Government Effectiveness: Estimate,GE.EST,1.571896
Austria,AUT,Government Effectiveness: Estimate,GE.EST,1.490911
Azerbaijan,AZE,Government Effectiveness: Estimate,GE.EST,-0.1391768
"Bahamas, The",BHS,Government Effectiveness: Estimate,GE.EST,0.4860963
Bahrain,BHR,Government Effectiveness: Estimate,GE.EST,0.298761
Bangladesh,BGD,Government Effectiveness: Estimate,GE.EST,-0.7392301
Barbados,BRB,Government Effectiveness: Estimate,GE.EST,0.631425
Belarus,BLR,Government Effectiveness: Estimate,GE.EST,-0.1833328
Belgium,BEL,Government Effectiveness: Estimate,GE.EST,1.032227
Belize,BLZ,Government Effectiveness: Estimate,GE.EST,-0.6767014
Benin,BEN,Government Effectiveness: Estimate,GE.EST,-0.4406517
Bermuda,BMU,Government Effectiveness: Estimate,GE.EST,1.362286
Bhutan,BTN,Government Effectiveness: Estimate,GE.EST,0.3137652
Bolivia,BOL,Government Effectiveness: Estimate,GE.EST,-0.699218
Bosnia and Herzegovina,BIH,Government Effectiveness: Estimate,GE.EST,-0.634277
Botswana,BWA,Government Effectiveness: Estimate,GE.EST,0.429048
Brazil,BRA,Government Effectiveness: Estimate,GE.EST,-0.186738
Brunei Darussalam,BRN,Government Effectiveness: Estimate,GE.EST,1.318309
Bulgaria,BGR,Government Effectiveness: Estimate,GE.EST,0.3390003
Burkina Faso,BFA,Government Effectiveness: Estimate,GE.EST,-0.7585109
Burundi,BDI,Government Effectiveness: Estimate,GE.EST,-1.326322
Cabo Verde,CPV,Government Effectiveness: Estimate,GE.EST,0.293028
Cambodia,KHM,Government Effectiveness: Estimate,GE.EST,-0.5791857
Cameroon,CMR,Government Effectiveness: Estimate,GE.EST,-0.8121465
Canada,CAN,Government Effectiveness: Estimate,GE.EST,1.731643
Cayman Islands,CYM,Government Effectiveness: Estimate,GE.EST,1.169394
Central African Republic,CAF,Government Effectiveness: Estimate,GE.EST,-1.747201
Chad,TCD,Government Effectiveness: Estimate,GE.EST,-1.568404
Chile,CHL,Government Effectiveness: Estimate,GE.EST,1.06042
