"Country","HDI","EXPECTATIVAVIDA","EXPECTCOLE","YEARS_SCHOOLING","GNI_GROSSNATIONALINCOME","infoalawk","%poburb18","GS_2017","PPP_2018","StringencyIndex","Apoyo Economico","Densidad (2018)","Desempleo (% al 2019)","Contagd100","Regulatory_quality","control_co","Ruleoflaw","Voice_acco","Political_sta","GEE"
"Afghanistan",0.496,64.486,10.13892,3.93,1745.665705,2,25.5,11.7771938443184,524.162880925404,27.78,"Sin apoyo",56.937760009803,24,16509,-1.120555,-1.401076,-1.713527,-0.9880323,-2.649407,-1.457285
"Angola",0.5745,60.782,11.777202,5.125459533,5554.697384,1,65.51,2.79150027781725,3289.64666408633,33.33,"Sin apoyo",24.7130520574316,7,259,-0.8938714,-1.054683,-1.054343,-0.7772832,-0.3111005,-1.052086
"Andorra",0.8568,81.786,13.30023874,10.15545101,48640.89418,0,88.06,10.3205524384975,41793.0552583729,0,"Sin apoyo",163.842553191489,4,852,1.228176,1.234392,1.579939,1.139154,1.615139,1.944976
"United Arab Emirates",0.8664,77.814,13.64343,10.95412,66911.66289,0,86.52,3.33428233861923,43839.3563491413,2.78,"Sin apoyo",135.609110109828,2,16240,0.9793252,1.106342,0.8402188,-1.122036,0.7034943,1.431291
"Argentina",0.8301,76.52,17.63836,10.56496472,17611.21813,2,91.87,9.12431478500366,11683.9496216363,11.11,"Sin apoyo",16.2585100979651,8,25987,-0.4927526,-0.0710714,-0.4307256,0.6004349,-0.1199785,0.0259878
"Australia",0.9384,83.281,22.10372,12.68304986,44097.01934,2,86.01,9.20594781637192,57395.9194663167,19.44,"Sin apoyo",3.24787091037205,6,6847,1.873539,1.811107,1.734145,1.315125,1.086503,1.596495
"Austria",0.9138,81.434,16.28676,12.55851074,46230.57167,2,58.3,10.3966169059277,51525.0464342791,11.11,"Sin apoyo",107.127966860564,6,16771,1.459116,1.545429,1.883051,1.326599,0.9801227,1.453342
"Azerbaijan",0.7539,72.864,12.40123094,10.47972,15240.14392,2,55.68,6.65182918310165,4739.84171028393,30.56,"Sin apoyo",120.23431716463,5,7876,-0.2266413,-0.8684072,-0.5772703,-1.491788,-0.681131,-0.1004674
"Belgium",0.9188,81.468,19.69991,11.78389183,43820.84204,2,98,10.338669270277,47491.3232594693,11.11,"Sin apoyo",377.379590488771,7,53981,1.290999,1.551961,1.363715,1.36912,0.4811862,1.171748
"Benin",0.5198,61.47,12.61455,3.774,2134.589379,2,47.31,3.71858216822147,1240.82946441954,27.78,"Sin apoyo",101.853919829727,1,850,-0.3759647,-0.3237639,-0.6641259,0.0920652,-0.3478641,-0.5659866
"Burkina Faso",0.4335,61.174,8.90646,1.585573608,1705.485422,2,29.36,6.91505968570709,820.160793810547,33.33,"Sin apoyo",72.1912828947368,77,899,-0.376492,-0.1886562,-0.4262591,-0.1800907,-1.188618,-0.5783429
"Bangladesh",0.6137,72.32,11.20449,6.06183,4057.250181,2,36.63,2.27424874901772,1698.35039428122,13.89,"Sin apoyo",1239.57931166936,4,90619,-0.9289543,-0.9938096,-0.6363084,-0.7217754,-0.9181735,-0.7483993
"Bulgaria",0.8157,74.928,14.81046,11.81482978,19645.936,2,75.01,8.09560343623161,9423.5586115666,50.93,"Sin apoyo",64.7110998526161,6,3341,0.5316786,-0.1551902,0.0358966,0.3849187,0.5401217,0.2718757
"Bahrain",0.8378,77.163,15.25713,9.411832983,40399.11872,2,89.29,4.74810488522053,23991.05667694,30.56,"Sin apoyo",2017.27369979138,4,12311,0.4850985,-0.010218,0.4943778,-1.412584,-0.661518,0.1798774
"Bosnia and Herzegovina",0.7692,77.262,13.78761333,9.692916034,12689.68076,2,48.24,8.93166735768318,6072.18099160639,40.28,"Menos del 50% del sueldo",64.92048828125,21,2893,-0.1940023,-0.6131452,-0.2335416,-0.1992863,-0.4004397,-0.6185398
"Belarus",0.8171,74.59,15.35894,12.30584324,17038.52852,0,78.6,5.92578575015068,6330.0752464187,0,"Sin apoyo",46.7195037884204,1,47751,-0.5437806,-0.059539,-0.7944578,-1.402502,0.2891302,-0.3010303
