Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.649407
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.1185695
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.003575
American Samoa,ASM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.16038
Andorra,AND,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.615139
Angola,AGO,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.3111005
Anguilla,AIA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.367357
Antigua and Barbuda,ATG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.959709
Argentina,ARG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.1199785
Armenia,ARM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.5064107
Aruba,ABW,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.357372
Australia,AUS,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.086503
Austria,AUT,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.9801227
Azerbaijan,AZE,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.681131
"Bahamas, The",BHS,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.8294795
Bahrain,BHR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.661518
Bangladesh,BGD,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.9181735
Barbados,BRB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.9417337
Belarus,BLR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.2891302
Belgium,BEL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.4811862
Belize,BLZ,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.0698153
Benin,BEN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.3478641
Bermuda,BMU,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.077228
Bhutan,BTN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.092505
Bolivia,BOL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.6153547
Bosnia and Herzegovina,BIH,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.4004397
Botswana,BWA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.011297
Brazil,BRA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.5464811
Brunei Darussalam,BRN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.172246
Bulgaria,BGR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.5401217
Burkina Faso,BFA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.188618
Burundi,BDI,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.64903
Cabo Verde,CPV,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.8809047
Cambodia,KHM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.0808967
Cameroon,CMR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.555283
Canada,CAN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.029905
Cayman Islands,CYM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.4457
Central African Republic,CAF,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.182968
Chad,TCD,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.340024
Chile,CHL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.2063824
China,CHN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.2403826
Colombia,COL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.900254
Comoros,COM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.1486754
"Congo, Dem. Rep.",COD,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.808007
"Congo, Rep.",COG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.8926991
Cook Islands,COK,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,..
Costa Rica,CRI,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.4602174
Cote d'Ivoire,CIV,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.962356
Croatia,HRV,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.7554738
Cuba,CUB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.613414
Cyprus,CYP,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.5165108
Czech Republic,CZE,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.952085
Denmark,DNK,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.008821
Djibouti,DJI,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.3445927
Dominica,DMA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.073779
Dominican Republic,DOM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.0189059
Ecuador,ECU,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.1890175
"Egypt, Arab Rep.",EGY,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.066421
El Salvador,SLV,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.127452
Equatorial Guinea,GNQ,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.1909256
Eritrea,ERI,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.7195499
Estonia,EST,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.6388937
Eswatini,SWZ,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.3785959
Ethiopia,ETH,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.279597
Fiji,FJI,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.8723141
Finland,FIN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.9090824
France,FRA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.313681
French Guiana,GUF,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.2772611
Gabon,GAB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.1782095
"Gambia, The",GMB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.1114135
Georgia,GEO,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.4458558
Germany,DEU,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.5828653
Ghana,GHA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.098347
Greece,GRC,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.2909985
Greenland,GRL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.896815
Grenada,GRD,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.959709
Guam,GUM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.7850212
Guatemala,GTM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.5461909
Guinea,GIN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.8306405
Guinea-Bissau,GNB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.562632
Guyana,GUY,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.2370798
Haiti,HTI,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.7778878
Honduras,HND,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.5306973
"Hong Kong SAR, China",HKG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.2677673
Hungary,HUN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.7325271
Iceland,ISL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.655899
India,IND,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.7027684
Indonesia,IDN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.4812067
"Iran, Islamic Rep.",IRN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.698151
Iraq,IRQ,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.564838
Ireland,IRL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.9733633
Israel,ISR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.7785231
Italy,ITA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.4626993
Jamaica,JAM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.4143164
Japan,JPN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.041225
"Jersey, Channel Islands",JEY,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.29669
Jordan,JOR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.3578623
Kazakhstan,KAZ,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.0834486
Kenya,KEN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.123664
Kiribati,KIR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.204567
"Korea, Dem. People’s Rep.",PRK,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.3049034
"Korea, Rep.",KOR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.4780881
Kosovo,XKX,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.3924663
Kuwait,KWT,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.2003809
Kyrgyz Republic,KGZ,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.4097819
Lao PDR,LAO,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.5250729
Latvia,LVA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.4488481
Lebanon,LBN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.63874
Lesotho,LSO,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.3546657
Liberia,LBR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.2290139
Libya,LBY,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.565753
Liechtenstein,LIE,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.627746
Lithuania,LTU,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.842194
Luxembourg,LUX,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.362118
"Macao SAR, China",MAC,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.250643
Madagascar,MDG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.2525476
Malawi,MWI,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.2672529
Malaysia,MYS,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.1102767
Maldives,MDV,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.013525
Mali,MLI,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.153436
Malta,MLT,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.090187
Marshall Islands,MHL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.8625854
Martinique,MTQ,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.7850212
Mauritania,MRT,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.5422166
Mauritius,MUS,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.8220398
Mexico,MEX,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.714571
"Micronesia, Fed. Sts.",FSM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.9964124
Moldova,MDA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.3827971
Monaco,MCO,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.591874
Mongolia,MNG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.6434917
Montenegro,MNE,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.0106019
Morocco,MAR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.3693984
Mozambique,MOZ,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.7454386
Myanmar,MMR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.261767
Namibia,NAM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.5339198
Nauru,NRU,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.8625854
Nepal,NPL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.4656303
Netherlands,NLD,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.8572519
Netherlands Antilles,ANT,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,..
New Zealand,NZL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.507665
Nicaragua,NIC,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.034828
Niger,NER,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.403038
Nigeria,NGA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.934674
Niue,NIU,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,..
North Macedonia,MKD,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.0492005
Norway,NOR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.186128
